Score      Moves      Max-Tile   Weights    Look-Ahead
32340      1668       2048       3          2         
27252      1416       2048       3          2         
12128      716        1024       1          2         
4616       319        512        1          3         
3184       260        256        1          3         
3072       254        256        1          2         
2888       225        256        1          3         
2812       245        256        3          1         
1584       158        128        3          3         
0          0          2048       3          2         
